order#,id#,year,electionyr,house,newspaper,date_publ,date_notes,electiondate,date1,date2,date3,overlap_days,overlap_bin,overlap_drop,daysbefore,checkorder,sample,m_likelihood,method_face,m_phone,m_rolling,m_panel,m_internet,m_pastvote,m_partyid,vote_con,vote_lab,vote_lib,vote_oth,vote_total,h_gallup,h_gallup9000,h_nop,h_mori1,h_mori2,h_icm,h_harris1,h_harris2,h_comres,h_populus,h_populus2,h_orb,h_rasm,h_yougov1,h_yougov2,h_bpix,h_nmr,h_angusr,h_opinium,h_tns,h_bizdec,h_orc,h_rsl,h_asl,h_ashcroft,source,vote_ukip,vote_bnp,vote_green,vote_swn,vote_grn,,,,,,,,,,,,,,
1,,2011,,Opinium,,,6_9 May,,5/6/11,5/7/11,5/9/11,,,,,,1964,,,,,,,,,35,38,9,19,101,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/sites/news.opinium.co.uk/files/11_May_Voting_Intent.pdf,7,2,4,5,4,,Opinium,,5/6/11,5/7/11,5/9/11,0,,http://news.opinium.co.uk/sites/news.opinium.co.uk/files/11_May_Voting_Intent.pdf,7,2,4,5,
2,,2011,,Opinium,,,28 Apr_2 May,,4/28/11,4/30/11,5/2/11,,,,,,1964,,,,,,,,,35,37,11,18,101,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-4th-may,7,2,3,4,,,Opinium,,4/28/11,4/30/11,5/2/11,0,,http://news.opinium.co.uk/survey-results/voting-intention-4th-may,7,2,3,4,
3,,2011,,Opinium,,,3_6 Jun,,6/3/11,6/4/11,6/6/11,,,,,,2004,,,,,,,,,35,38,9,19,101,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-6th-june,,,,,,,Opinium,,6/3/11,6/4/11,6/6/11,0,,http://news.opinium.co.uk/survey-results/voting-intention-6th-june,,,,,1
4,,2011,,Opinium,,,6_9 Jul,,7/6/11,7/7/11,7/9/11,,,,,,1973,,,,,,,,,35,36,9,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-6th-july,,,,,,,Opinium,,7/6/11,7/7/11,7/9/11,0,,http://news.opinium.co.uk/survey-results/voting-intention-6th-july,,,,,1
5,,2012,,Opinium,,,29_31 Jul,,7/29/11,7/30/11,7/31/11,,,,,,2011,,,,,,,,,36,38,9,17,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-29th-july,,,,,,,Opinium,,7/29/11,7/30/11,7/31/11,0,,http://news.opinium.co.uk/survey-results/voting-intention-29th-july,,,,,1
6,,2012,,Opinium,,,9_11 Aug,,8/9/11,8/10/11,8/11/11,,,,,,1963,,,,,,,,,34,38,9,19,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-9th-august,8,3,4,3,,,Opinium,,8/9/11,8/10/11,8/11/11,0,,http://news.opinium.co.uk/survey-results/voting-intention-9th-august,8,3,4,3,
7,,2012,,Opinium,,,16_19 Aug,,8/16/11,8/17/11,8/19/11,,,,,,1978,,,,,,,,,37,38,9,17,101,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-16th-august,6,2,4,4,,,Opinium,,8/16/11,8/17/11,8/19/11,0,,http://news.opinium.co.uk/survey-results/voting-intention-16th-august,6,2,4,4,
8,,2012,,Opinium,,,2_5 Sep,,9/2/11,9/3/11,9/5/11,,,,,,1952,,,,,,,,,36,37,9,18,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-2nd-september,7,2,4,4,,,Opinium,,9/2/11,9/3/11,9/5/11,0,,http://news.opinium.co.uk/survey-results/voting-intention-2nd-september,7,2,4,4,
9,,2012,,Opinium,,,13_15 Sep,,9/13/11,9/14/11,9/15/11,,,,,,1960,,,,,,,,,33,36,9,22,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-13th-september,8,3,4,5,,,Opinium,,9/13/11,9/14/11,9/15/11,0,,http://news.opinium.co.uk/survey-results/voting-intention-13th-september,8,3,4,5,
10,,2012,,Opinium,,,27_30 Sep,,9/27/11,9/28/11,9/30/11,,,,,,1947,,,,,,,,,33,40,9,18,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-27th-september,6,2,4,5,,,Opinium,,9/27/11,9/28/11,9/30/11,0,,http://news.opinium.co.uk/survey-results/voting-intention-27th-september,6,2,4,5,
11,,2012,,Opinium,,,7_10 Oct,,10/7/11,10/8/11,10/10/11,,,,,,1962,,,,,,,,,36,37,8,19,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-7th-october,7,2,5,5,,,Opinium,,10/7/11,10/8/11,10/10/11,0,,http://news.opinium.co.uk/survey-results/voting-intention-7th-october,7,2,5,5,
12,,2012,,Opinium,,,21_24 Oct,,10/21/11,10/22/11,10/24/11,,,,,,1957,,,,,,,,,33,39,9,19,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-21st-october,8,2,4,4,,,Opinium,,10/21/11,10/22/11,10/24/11,0,,http://news.opinium.co.uk/survey-results/voting-intention-21st-october,8,2,4,4,
