id#,year,house,newspaper,date_publ,date_notes,sdate,edate,sample,vote_con,vote_lab,vote_ukip,vote_lib,vote_snp,vote_snppc,vote_green,vote_oth,vote_total,source
OLD0001,2015,Populus,,,5–6 May,5/5/15,5/6/15,3917,34,34,13,9,,,5,,95.0,Populus
OLD0002,2015,Lord Ashcroft,,,5–6 May,5/5/15,5/6/15,3028,33,33,11,10,,,6,,93.0,Lord Ashcroft
OLD0003,2015,Ipsos MORI,Evening Standard,,5–6 May,5/5/15,5/6/15,1186,36,35,11,8,,,5,,95.0,Ipsos MORI/Evening Standard
OLD0004,2015,YouGov,The Sun,,4–6 May,5/4/15,5/6/15,10307,34,34,12,10,,,4,,94.0,YouGov/The Sun
OLD0005,2015,ComRes,"Daily Mail, ITV News",,5–6 May,5/5/15,5/6/15,1007,35,34,12,9,,,4,,94.0,"ComRes/Daily Mail, ITV News"
OLD0006,2015,Survation,Daily Mirror,,4–6 May,5/4/15,5/6/15,4088,31,31,16,10,,,5,,93.0,Survation/Daily Mirror
OLD0007,2015,ICM,The Guardian,,3–6 May,5/3/15,5/6/15,2023,34,35,11,9,,,4,,93.0,ICM/The Guardian
OLD0008,2015,Panelbase,,,1–6 May,5/1/15,5/6/15,3019,31,33,16,8,,,5,,93.0,Panelbase
OLD0009,2015,Opinium,,,4–5 May,5/4/15,5/5/15,2960,35,34,12,8,,,6,,95.0,Opinium
OLD0010,2015,YouGov,The Sun,,4–5 May,5/4/15,5/5/15,2148,34,34,12,9,,,5,,94.0,
OLD0011,2015,Survation,Daily Mirror,,4–5 May,5/4/15,5/5/15,1504,33,34,16,9,,,4,,96.0,
OLD0012,2015,ComRes,,,3–5 May,5/3/15,5/5/15,1011,35,32,14,9,,,4,,94.0,
OLD0013,2015,BMG,May2015.com,,3–5 May,5/3/15,5/5/15,1009,33.7,33.7,12,10.4,,,4,,93.8,http://may2015.com/wp-content/uploads/2015/05/Screen-Shot-2015-05-05-at-21.08.08.png
OLD0014,2015,Lord Ashcroft,,,1–3 May,5/1/15,5/3/15,1001,32,30,12,11,,,7,,92.0,http://lordashcroftpolls.com/wp-content/uploads/2015/05/ANP-summary-150505LWK.pdf
OLD0015,2015,YouGov,The Sun,,3–4 May,5/3/15,5/4/15,1664,33,33,12,10,,,5,,93.0,YouGov/The Sun
OLD0016,2015,YouGov,The Sun,,2–3 May,5/2/15,5/3/15,1789,34,33,12,9,,,5,,93.0,YouGov/The Sun
