Date,UKIP.Articles,UKIP.Vote,Clacton.Election,Carswell.Defection,Reckless.Defection,Rochester.Election,General.Election2010,General.Election2005,Eastleigh.Election,Euro.Election2014,Euro.Election2009,Euro.Election2004,General.Election2015,Nov.Elections,EU.Ref,Leader.Articles,Farage.Articles,Worker.Rights,Cameron.Fruitcakes,Unemployment,Salience.Imm,National.Share.Pulse,National.Share.Step,European.Share.Pulse,European.Share.Step
01/01/2004,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4.8,29,0,1.5,0,7
02/01/2004,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4.8,35,0,1.5,0,7
03/01/2004,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4.8,31,0,1.5,0,7
04/01/2004,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4.8,36,0,1.5,0,7
05/01/2004,166,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,4.8,30,0,1.5,0,7
06/01/2004,829,6,0,0,0,0,0,0,0,0,0,1,0,0,0,39,42,0,0,4.8,28,0,1.5,16.1,16.1
07/01/2004,175,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,4.7,31,0,1.5,0,16.1
08/01/2004,89,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,4.7,30,0,1.5,0,16.1
09/01/2004,118,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,4.7,26,0,1.5,0,16.1
10/01/2004,348,4,0,0,0,0,0,0,0,0,0,0,0,0,0,65,33,0,0,4.7,25,0,1.5,0,16.1
11/01/2004,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,4.7,24,0,1.5,0,16.1
12/01/2004,61,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4.7,25,0,1.5,0,16.1
01/01/2005,106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,4.8,26,0,1.5,0,16.1
02/01/2005,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,4.7,40,0,1.5,0,16.1
03/01/2005,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4.7,33,0,1.5,0,16.1
04/01/2005,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,0,0,4.8,NA,0,1.5,0,16.1
05/01/2005,149,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,16,0,0,4.8,27,2.2,2.2,0,16.1
06/01/2005,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,4.7,33,0,2.2,0,16.1
07/01/2005,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4.7,32,0,2.2,0,16.1
