date,articles,general.elections,euro.elections,brexit
4/24/10,81,0,0,0
5/1/10,140,1,0,0
5/8/10,115,0,0,0
5/15/10,23,0,0,0
5/22/10,16,0,0,0
5/29/10,17,0,0,0
6/5/10,9,0,0,0
6/12/10,9,0,0,0
6/19/10,8,0,0,0
6/26/10,12,0,0,0
7/3/10,17,0,0,0
7/10/10,14,0,0,0
7/17/10,11,0,0,0
7/24/10,16,0,0,0
7/31/10,7,0,0,0
8/7/10,15,0,0,0
8/14/10,32,0,0,0
8/21/10,25,0,0,0
8/28/10,15,0,0,0
9/4/10,19,0,0,0
9/11/10,20,0,0,0
9/18/10,5,0,0,0
9/25/10,7,0,0,0
10/2/10,10,0,0,0
10/9/10,6,0,0,0
10/16/10,20,0,0,0
10/23/10,23,0,0,0
10/30/10,30,0,0,0
11/6/10,37,0,0,0
11/13/10,16,0,0,0
11/20/10,33,0,0,0
11/27/10,43,0,0,0
12/4/10,15,0,0,0
12/11/10,24,0,0,0
12/18/10,16,0,0,0
12/25/10,11,0,0,0
1/1/11,11,0,0,0
1/8/11,34,0,0,0
1/15/11,19,0,0,0
1/22/11,6,0,0,0
1/29/11,5,0,0,0
2/5/11,14,0,0,0
2/12/11,13,0,0,0
2/19/11,8,0,0,0
2/26/11,38,0,0,0
3/5/11,76,0,0,0
3/12/11,22,0,0,0
3/19/11,15,0,0,0
3/26/11,26,0,0,0
4/2/11,34,0,0,0
4/9/11,53,0,0,0
4/16/11,35,0,0,0
4/23/11,26,0,0,0
4/30/11,35,0,0,0
5/7/11,25,0,0,0
5/14/11,40,0,0,0
5/21/11,20,0,0,0
5/28/11,22,0,0,0
6/4/11,15,0,0,0
6/11/11,16,0,0,0
6/18/11,21,0,0,0
6/25/11,26,0,0,0
7/2/11,25,0,0,0
7/9/11,20,0,0,0
7/16/11,10,0,0,0
7/23/11,9,0,0,0
7/30/11,13,0,0,0
8/6/11,22,0,0,0
8/13/11,3,0,0,0
8/20/11,20,0,0,0
8/27/11,4,0,0,0
9/3/11,40,0,0,0
9/10/11,29,0,0,0
9/17/11,26,0,0,0
9/24/11,29,0,0,0
10/1/11,22,0,0,0
10/8/11,43,0,0,0
10/15/11,21,0,0,0
10/22/11,49,0,0,0
10/29/11,34,0,0,0
11/5/11,25,0,0,0
11/12/11,21,0,0,0
11/19/11,25,0,0,0
11/26/11,21,0,0,0
12/3/11,22,0,0,0
12/10/11,59,0,0,0
12/17/11,31,0,0,0
12/24/11,12,0,0,0
12/31/11,12,0,0,0
1/7/12,14,0,0,0
1/14/12,28,0,0,0
1/21/12,21,0,0,0
1/28/12,26,0,0,0
2/4/12,27,0,0,0
2/11/12,23,0,0,0
2/18/12,35,0,0,0
